,gtfs_stop_id,stop_name,borough,gtfs_latitude,gtfs_longitude,north_direction_label,south_direction_label,daytime_routes,structure,ada
289,G33,Bedford-Nostrand Avs,Brooklyn,40.689627,-73.953522,Queens,Southbound,G,Subway,0
290,G34,Classon Av,Brooklyn,40.688873,-73.96007,Queens,Southbound,G,Subway,0
291,G35,Clinton-Washington Avs,Brooklyn,40.688089,-73.966839,Queens,Southbound,G,Subway,0
292,G36,Fulton St,Brooklyn,40.687119,-73.975375,Queens,Southbound,G,Subway,0
293,101,Van Cortlandt Park-242 St,Bronx,40.889248,-73.898583,Last Stop,Manhattan,1,Elevated,0
294,103,238 St,Bronx,40.884667,-73.90087,Van Cortlandt,Manhattan,1,Elevated,0
295,104,231 St,Bronx,40.878856,-73.904834,Van Cortlandt,Manhattan,1,Elevated,1
296,106,Marble Hill-225 St,Manhattan,40.874561,-73.909831,The Bronx,Downtown,1,Elevated,0
297,107,215 St,Manhattan,40.869444,-73.915279,The Bronx,Downtown,1,Elevated,0
298,108,207 St,Manhattan,40.864621,-73.918822,The Bronx,Downtown,1,Elevated,0
299,109,Dyckman St,Manhattan,40.860531,-73.925536,The Bronx,Downtown,1,Elevated,1
300,110,191 St,Manhattan,40.855225,-73.929412,The Bronx,Downtown,1,Subway,0
301,111,181 St,Manhattan,40.849505,-73.933596,The Bronx,Downtown,1,Subway,0
302,112,168 St-Washington Hts,Manhattan,40.840556,-73.940133,Uptown,Downtown,1,Subway,0
303,113,157 St,Manhattan,40.834041,-73.94489,Uptown,Downtown,1,Subway,0
304,114,145 St,Manhattan,40.826551,-73.95036,Uptown,Downtown,1,Subway,0
305,115,137 St-City College,Manhattan,40.822008,-73.953676,Uptown,Downtown,1,Subway,0
306,116,125 St,Manhattan,40.815581,-73.958372,Uptown,Downtown,1,Elevated,0
307,117,116 St-Columbia University,Manhattan,40.807722,-73.96411,Uptown,Downtown,1,Subway,0
308,118,Cathedral Pkwy (110 St),Manhattan,40.803967,-73.966847,Uptown,Downtown,1,Subway,0
309,119,103 St,Manhattan,40.799446,-73.968379,Uptown,Downtown,1,Subway,0
310,120,96 St,Manhattan,40.793919,-73.972323,Uptown,Downtown,1 2 3,Subway,1
311,121,86 St,Manhattan,40.788644,-73.976218,Uptown,Downtown,1,Subway,0
312,122,79 St,Manhattan,40.783934,-73.979917,Uptown,Downtown,1,Subway,0
313,123,72 St,Manhattan,40.778453,-73.98197,Uptown,Downtown,1 2 3,Subway,1
314,124,66 St-Lincoln Center,Manhattan,40.77344,-73.982209,Uptown,Downtown,1,Subway,1
315,125,59 St-Columbus Circle,Manhattan,40.768247,-73.981929,Uptown,Downtown,1,Subway,1
316,126,50 St,Manhattan,40.761728,-73.983849,Uptown,Downtown,1,Subway,0
317,127,Times Sq-42 St,Manhattan,40.75529,-73.987495,Uptown,Downtown,1 2 3,Subway,1
318,128,34 St-Penn Station,Manhattan,40.750373,-73.991057,Uptown,Downtown,1 2 3,Subway,1
319,129,28 St,Manhattan,40.747215,-73.993365,Uptown,Downtown,1,Subway,0
320,130,23 St,Manhattan,40.744081,-73.995657,Uptown,Downtown,1,Subway,0
321,131,18 St,Manhattan,40.74104,-73.997871,Uptown,Downtown,1,Subway,0
322,132,14 St,Manhattan,40.737826,-74.000201,Uptown,Downtown,1 2 3,Subway,0
323,133,Christopher St-Stonewall,Manhattan,40.733422,-74.002906,Uptown,Downtown,1,Subway,0
324,134,Houston St,Manhattan,40.728251,-74.005367,Uptown,Downtown,1,Subway,0
325,135,Canal St,Manhattan,40.722854,-74.006277,Uptown,Downtown,1,Subway,0
326,136,Franklin St,Manhattan,40.719318,-74.006886,Uptown,Downtown,1,Subway,0
327,137,Chambers St,Manhattan,40.715478,-74.009266,Uptown,Downtown,1 2 3,Subway,1
328,138,WTC Cortlandt,Manhattan,40.711835,-74.012188,Uptown,Downtown,1,Subway,1
329,139,Rector St,Manhattan,40.707513,-74.013783,Uptown,Downtown,1,Subway,0
330,142,South Ferry,Manhattan,40.702068,-74.013664,Uptown,Last Stop,1,Subway,1
331,228,Park Place,Manhattan,40.713051,-74.008811,Uptown,Brooklyn,2 3,Subway,0
332,229,Fulton St,Manhattan,40.709416,-74.006571,Uptown,Brooklyn,2 3,Subway,1
333,230,Wall St,Manhattan,40.706821,-74.0091,Uptown,Brooklyn,2 3,Subway,0
334,231,Clark St,Brooklyn,40.697466,-73.993086,Manhattan,Outbound,2 3,Subway,0
335,232,Borough Hall,Brooklyn,40.693219,-73.989998,Manhattan,Outbound,2 3,Subway,1
336,233,Hoyt St,Brooklyn,40.690545,-73.985065,Manhattan,Outbound,2 3,Subway,2
337,234,Nevins St,Brooklyn,40.688246,-73.980492,Manhattan,Outbound,2 3 4 5,Subway,0
338,235,Atlantic Av-Barclays Ctr,Brooklyn,40.684359,-73.977666,Manhattan,Outbound,2 3 4 5,Subway,1
339,236,Bergen St,Brooklyn,40.680829,-73.975098,Manhattan,Outbound,2 3,Subway,0
